name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,9
C0000011,4
C0000012,4
C0000013,21
C0000014,3
C0000015,3
C0000016,4
C0000017,0
C0000018,0
C0000019,1
